SDD21_Lower	SDD11_Upper	SCD21_Upper	SCD22_Upper	SCD21-SDD21_Upper	NEXT_Upper	SDD21_offset
-6	-7.473319141	-18	-12.27331914	-10	-35	0.68923
-6	-7.455464052	-18	-12.25546405	-10	-35	0.691456
-6	-7.437663987	-18	-12.23766399	-10	-35	0.691815
-6	-7.419918607	-18	-12.21991861	-10	-35	0.694363
-6	-7.402227577	-18	-12.20222758	-10	-35	0.694975
-6	-7.384590566	-18	-12.18459057	-10	-35	0.698528
-6	-7.367007245	-18	-12.16700725	-10	-35	0.699195
-6	-7.349477287	-18	-12.14947729	-10	-35	0.703207
-6	-7.332000371	-18	-12.13200037	-10	-35	0.704651
-6	-7.314576175	-18	-12.11457617	-10	-35	0.704287
-6	-7.297204382	-18	-12.09720438	-10	-35	0.705958
-6	-7.279884679	-18	-12.07988468	-10	-35	0.708237
-6	-7.262616754	-18	-12.06261675	-10	-35	0.708225
-6	-7.245400298	-18	-12.0454003	-10	-35	0.712118
-6	-7.228235006	-18	-12.02823501	-10	-35	0.712425
-6	-7.211120574	-18	-12.01112057	-10	-35	0.715198
-6	-7.194056702	-18	-11.9940567	-10	-35	0.718678
-6	-7.177043091	-18	-11.97704309	-10	-35	0.719922
-6	-7.160079447	-18	-11.96007945	-10	-35	0.722956
-6	-7.143165477	-18	-11.94316548	-10	-35	0.724512
-6	-7.126300891	-18	-11.92630089	-10	-35	0.725874
-6	-7.109485402	-18	-11.9094854	-10	-35	0.728148
-6	-7.092718723	-18	-11.89271872	-10	-35	0.729833
-6	-7.076000574	-18	-11.87600057	-10	-35	0.730594
-6	-7.059330673	-18	-11.85933067	-10	-35	0.731379
-6	-7.042708743	-18	-11.84270874	-10	-35	0.732341
-6	-7.026134509	-18	-11.82613451	-10	-35	0.7338
-6	-7.009607698	-18	-11.8096077	-10	-35	0.736109
-6	-6.993128039	-18	-11.79312804	-10	-35	0.73688
-6	-6.976695264	-18	-11.77669526	-10	-35	0.738456
-6	-6.960309106	-18	-11.76030911	-10	-35	0.741216
-6	-6.943969303	-18	-11.7439693	-10	-35	0.741707
-6	-6.927675592	-18	-11.72767559	-10	-35	0.743738
-6	-6.911427715	-18	-11.71142771	-10	-35	0.745419
-6	-6.895225413	-18	-11.69522541	-10	-35	0.748338
-6	-6.879068433	-18	-11.67906843	-10	-35	0.748722
-6	-6.862956522	-18	-11.66295652	-10	-35	0.750663
-6	-6.846889428	-18	-11.64688943	-10	-35	0.752581
-6	-6.830866902	-18	-11.6308669	-10	-35	0.752233
-6	-6.8148887	-18	-11.6148887	-10	-35	0.754834
-6	-6.798954575	-18	-11.59895457	-10	-35	0.755162
-6	-6.783064285	-18	-11.58306429	-10	-35	0.756552
-6	-6.767217591	-18	-11.56721759	-10	-35	0.758601
-6	-6.751414252	-18	-11.55141425	-10	-35	0.760489
-6	-6.735654033	-18	-11.53565403	-10	-35	0.762925
-6	-6.719936699	-18	-11.5199367	-10	-35	0.764279
-6	-6.704262018	-18	-11.50426202	-10	-35	0.766297
-6	-6.688629758	-18	-11.48862976	-10	-35	0.767417
-6	-6.67303969	-18	-11.47303969	-10	-35	0.769685
-6	-6.657491587	-18	-11.45749159	-10	-35	0.771028
-6	-6.641985225	-18	-11.44198522	-10	-35	0.770825
-6	-6.626520379	-18	-11.42652038	-10	-35	0.771755
-6	-6.611096827	-18	-11.41109683	-10	-35	0.772216
-6	-6.59571435	-18	-11.39571435	-10	-35	0.773258
-6	-6.58037273	-18	-11.38037273	-10	-35	0.774462
-6	-6.56507175	-18	-11.36507175	-10	-35	0.776607
-6	-6.549811195	-18	-11.3498112	-10	-35	0.777249
-6	-6.534590853	-18	-11.33459085	-10	-35	0.778356
-6	-6.519410511	-18	-11.31941051	-10	-35	0.779129
-6	-6.504269961	-18	-11.30426996	-10	-35	0.782082
-6	-6.489168994	-18	-11.28916899	-10	-35	0.782153
-6	-6.474107404	-18	-11.2741074	-10	-35	0.784234
-6	-6.459084985	-18	-11.25908499	-10	-35	0.785993
-6	-6.444101536	-18	-11.24410154	-10	-35	0.787027
-6	-6.429156853	-18	-11.22915685	-10	-35	0.787441
-6	-6.414250737	-18	-11.21425074	-10	-35	0.789348
-6	-6.39938299	-18	-11.19938299	-10	-35	0.790464
